,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
115,1390,39,43,.683,126,107,162,1458,13341.0,19,4447,61,.610,5944,Boston Red Sox,2016
116,1623,34,73,.686,177,113,162,1458,12876.0,8,4292,76,.691,6028,San Diego Padres,2016
117,1624,32,50,.686,164,115,162,1458,13011.0,11,4337,99,.756,6076,Milwaukee Brewers,2016
118,1541,26,67,.701,157,114,162,1458,12795.0,11,4265,120,.822,5920,Chicago White Sox,2016
119,1597,42,84,.687,162,121,162,1458,12879.0,16,4293,111,.725,6011,Oakland Athletics,2016
120,1639,35,40,.702,136,72,162,1458,13143.0,6,4381,71,.670,6092,San Francisco Giants,2015
121,1425,29,47,.700,142,73,162,1458,13137.0,17,4379,54,.651,5877,Washington Nationals,2015
122,1599,31,98,.682,135,77,162,1458,13212.0,18,4404,67,.684,6080,Houston Astros,2015
123,1537,39,44,.692,148,75,161,1449,12852.0,5,4284,71,.645,5896,Detroit Tigers,2015
124,1427,33,52,.695,139,75,162,1458,12957.0,37,4319,59,.641,5821,Boston Red Sox,2015
125,1579,37,59,.689,165,80,162,1458,12888.0,4,4296,69,.651,5955,Baltimore Orioles,2015
126,1448,36,58,.701,101,80,162,1458,13077.0,13,4359,87,.707,5887,Los Angeles Dodgers,2015
127,1622,20,50,.705,144,88,162,1458,13134.0,29,4378,84,.808,6088,Toronto Blue Jays,2015
128,1536,31,52,.695,116,86,162,1458,12855.0,14,4285,86,.735,5907,New York Yankees,2015
129,1506,38,66,.686,137,86,161,1449,12915.0,9,4305,76,.667,5897,Miami Marlins,2015
130,1575,32,52,.694,158,89,162,1458,13113.0,11,4371,81,.717,6035,Seattle Mariners,2015
131,1608,32,49,.697,126,89,161,1449,13005.0,12,4335,51,.614,6032,Cleveland Indians,2015
132,1519,45,50,.678,138,90,162,1458,13023.0,8,4341,135,.750,5950,New York Mets,2015
133,1526,42,55,.689,134,94,162,1458,12960.0,7,4320,55,.567,5940,Kansas City Royals,2015
134,1536,20,72,.689,148,95,162,1458,13020.0,8,4340,89,.817,5971,Chicago White Sox,2015
135,1655,33,45,.693,190,97,162,1458,12987.0,11,4329,82,.713,6081,Texas Rangers,2015
136,1630,22,70,.686,152,97,162,1458,12900.0,11,4300,75,.773,6027,Oakland Athletics,2015
137,1410,31,61,.689,129,94,162,1458,12837.0,13,4279,91,.746,5783,Tampa Bay Rays,2015
138,1503,32,57,.683,142,97,162,1458,12933.0,10,4311,70,.686,5911,Philadelphia Phillies,2015
139,1663,35,69,.667,143,101,162,1458,13062.0,17,4354,63,.643,6118,Arizona Diamondbacks,2015
140,1635,38,80,.731,116,101,162,1458,13137.0,12,4379,133,.778,6115,Chicago Cubs,2015
141,1483,47,47,.686,148,97,162,1458,12792.0,7,4264,93,.664,5844,Los Angeles Angels,2015
142,1565,25,83,.694,134,101,161,1449,13029.0,14,4343,132,.841,6009,Atlanta Braves,2015
143,1549,45,61,.695,142,102,162,1458,12978.0,9,4326,108,.706,5977,Cincinnati Reds,2015
144,1747,26,50,.680,169,107,162,1458,13035.0,10,4345,85,.766,6199,St. Louis Cardinals,2015
145,1745,28,72,.677,172,111,162,1458,13061.0,17,4359,102,.785,6215,Pittsburgh Pirates,2015
146,1749,31,72,.670,148,110,162,1458,12864.0,13,4288,100,.763,6147,Colorado Rockies,2015
147,1623,29,67,.687,165,109,162,1458,12960.0,13,4320,98,.772,6052,San Diego Padres,2015
148,1610,20,83,.666,172,126,162,1458,12987.0,9,4329,78,.796,6065,Minnesota Twins,2015
149,1671,59,48,.683,145,136,162,1458,12909.0,8,4303,92,.609,6110,Milwaukee Brewers,2015
150,1727,42,52,.692,133,75,162,1458,13011.0,12,4337,85,.669,6139,Los Angeles Dodgers,2014
151,1674,32,40,.708,145,78,162,1458,12999.0,10,4333,82,.719,6085,San Francisco Giants,2014
152,1597,29,46,.692,134,77,162,1458,12912.0,10,4304,62,.681,5978,Baltimore Orioles,2014
153,1588,25,53,.697,162,77,162,1458,12843.0,11,4281,74,.747,5946,Miami Marlins,2014
154,1528,39,48,.700,136,79,161,1449,12894.0,10,4298,71,.645,5905,Cleveland Indians,2014
155,1697,28,51,.693,146,86,162,1458,13200.0,11,4400,73,.723,6183,Arizona Diamondbacks,2014
156,1617,27,61,.703,131,85,162,1458,12969.0,8,4323,87,.763,6025,Houston Astros,2014
157,1637,22,54,.688,150,86,162,1458,12987.0,3,4329,93,.809,6052,Minnesota Twins,2014
158,1621,43,60,.689,165,86,161,1449,13023.0,5,4341,72,.626,6048,Detroit Tigers,2014
159,1599,26,46,.698,131,88,162,1458,13164.0,4,4388,75,.743,6075,New York Mets,2014
160,1611,35,62,.704,138,88,162,1458,13068.0,5,4356,75,.682,6055,Kansas City Royals,2014
161,1592,41,62,.708,145,88,162,1458,12969.0,25,4323,60,.594,6003,Toronto Blue Jays,2014
162,1622,31,54,.690,131,90,162,1458,13080.0,9,4360,100,.763,6072,Cincinnati Reds,2014
163,1593,33,53,.682,186,90,162,1458,12828.0,13,4276,84,.718,5959,Atlanta Braves,2014
164,1533,32,39,.687,125,90,162,1458,12912.0,7,4304,53,.624,5927,Washington Nationals,2014
165,1685,40,72,.688,155,94,162,1458,13167.0,10,4389,65,.619,6168,Seattle Mariners,2014
166,1818,35,66,.670,171,95,162,1458,12837.0,7,4279,92,.724,6192,Colorado Rockies,2014
167,1594,36,78,.686,135,93,162,1458,13119.0,8,4373,71,.664,6060,New York Yankees,2014
168,1566,60,54,.684,138,92,162,1458,12963.0,18,4321,122,.670,5979,San Diego Padres,2014
169,1617,29,48,.689,159,96,162,1458,13182.0,5,4394,54,.651,6107,St. Louis Cardinals,2014
170,1491,43,61,.700,108,93,162,1458,12966.0,13,4322,93,.684,5906,Los Angeles Angels,2014
171,1625,38,79,.681,148,97,162,1458,13035.0,22,4345,75,.664,6067,Boston Red Sox,2014
172,1408,44,81,.702,118,95,162,1458,13080.0,8,4360,88,.667,5863,Tampa Bay Rays,2014
173,1582,30,61,.675,159,101,162,1458,13074.0,22,4358,75,.714,6041,Chicago White Sox,2014
174,1669,38,66,.695,120,111,162,1458,13152.0,10,4384,137,.783,6164,Chicago Cubs,2014
