,AO1,BB1,BK,CG,CS1,ER,ERA,G1,GF,GIDP,GO1,GO_AO1,GS,H1,HB,HLD,HR1,IBB1,IP,L,NP,OBP1,OPS,PK,R1,SB1,SHO,SLG1,SO1,SV,SVO,TBF,W,WHIP,WP,WPCT,team,year
83,1344,494,4,2,31,611,3.78,162,160,82,1300,0.97,162,1311,58,78,177,9,1456.1,62,24612,.304,.694,9,669,88,11,.390,1634,49,67,6141,100,1.24,73,.617,New York Yankees,2017
84,1508,474,2,2,46,621,3.81,162,160,110,1522,1.01,162,1303,53,85,184,19,1465.2,65,23273,.301,.693,5,674,98,14,.392,1237,44,62,6099,97,1.21,86,.599,Oakland Athletics,2017
85,1405,553,5,0,39,606,3.73,163,163,113,1406,1.00,163,1259,61,93,173,34,1461.0,67,24315,.309,.696,9,659,69,14,.387,1428,49,74,6114,96,1.24,50,.589,Milwaukee Brewers,2017
86,1321,422,10,0,25,554,3.38,163,163,91,1445,1.09,163,1279,61,90,179,39,1476.0,71,23616,.290,.669,9,610,70,11,.379,1565,48,74,6096,92,1.15,39,.564,Los Angeles Dodgers,2017
87,1395,501,6,0,27,602,3.74,162,162,121,1385,0.99,162,1236,53,115,164,34,1448.1,72,23342,.300,.677,7,646,78,14,.377,1421,52,74,5992,90,1.20,55,.556,Tampa Bay Rays,2017
88,1404,635,8,2,28,607,3.75,162,160,113,1404,1.00,162,1236,52,98,153,43,1456.2,72,24177,.314,.684,16,657,102,11,.370,1423,40,60,6155,90,1.28,61,.556,Atlanta Braves,2017
89,1261,435,4,3,25,503,3.11,162,159,95,1299,1.03,162,1164,66,104,152,4,1455.0,59,23539,.282,.640,7,534,60,12,.358,1687,46,67,5913,103,1.10,67,.636,Houston Astros,2017
90,1619,538,4,2,37,846,5.36,162,160,129,1292,0.80,162,1587,61,75,218,42,1420.1,98,24439,.348,.811,10,894,85,4,.463,1202,32,55,6298,64,1.50,53,.395,Detroit Tigers,2016
91,1358,593,5,2,29,799,5.01,162,160,112,1460,1.08,162,1538,55,73,220,51,1434.2,92,24914,.345,.794,5,863,102,5,.448,1374,34,54,6378,70,1.49,55,.432,New York Mets,2016
92,1408,579,6,1,34,795,4.97,162,161,150,1512,1.07,162,1505,60,59,242,21,1441.0,87,25129,.342,.799,7,841,77,10,.458,1233,35,53,6293,75,1.45,53,.463,Baltimore Orioles,2016
93,1487,496,3,3,37,726,4.50,162,159,116,1504,1.01,162,1515,50,66,182,42,1452.0,98,23757,.331,.768,11,776,73,5,.438,1234,32,55,6287,64,1.38,55,.395,San Francisco Giants,2016
94,1551,483,8,6,29,732,4.59,162,156,126,1450,0.93,162,1487,69,83,224,37,1436.0,77,23490,.330,.776,4,788,75,11,.446,1166,42,61,6205,85,1.37,52,.525,Minnesota Twins,2016
95,1503,519,6,1,30,737,4.61,162,161,127,1448,0.96,162,1480,52,94,196,24,1437.2,82,23975,.331,.765,12,791,87,6,.434,1216,39,60,6218,80,1.39,48,.494,Kansas City Royals,2016
96,1448,527,11,1,30,729,4.55,162,161,119,1416,0.98,162,1471,63,73,221,39,1441.0,96,23972,.333,.780,10,782,91,7,.447,1309,33,57,6235,66,1.39,50,.407,Philadelphia Phillies,2016
97,1244,532,10,1,27,721,4.51,162,161,143,1626,1.31,162,1453,50,112,190,20,1437.2,75,23726,.332,.771,12,757,67,9,.439,1270,47,62,6177,87,1.38,69,.537,Colorado Rockies,2016
98,1346,511,2,2,28,676,4.22,162,160,133,1565,1.16,162,1464,58,85,182,32,1440.2,87,23699,.330,.761,5,731,95,12,.431,1262,36,57,6208,75,1.37,58,.463,Pittsburgh Pirates,2016
99,1335,631,7,2,42,821,5.17,162,160,107,1501,1.12,162,1442,77,58,248,37,1430.0,94,24344,.345,.810,9,869,79,8,.465,1300,33,48,6286,68,1.45,62,.420,Cincinnati Reds,2016
100,1415,584,5,0,30,756,4.72,162,162,118,1516,1.07,162,1463,70,82,192,39,1441.1,90,23815,.339,.777,15,821,99,6,.438,1258,36,59,6306,72,1.42,58,.444,Atlanta Braves,2016
101,1493,627,3,1,30,772,4.82,162,161,132,1471,0.99,162,1450,75,98,193,59,1442.2,85,24612,.344,.776,7,822,67,7,.432,1202,34,61,6318,77,1.44,57,.475,Miami Marlins,2016
102,1478,559,7,2,28,742,4.66,162,160,156,1549,1.05,162,1443,74,67,214,22,1434.1,84,23922,.335,.769,12,816,87,6,.434,1107,29,50,6211,78,1.40,63,.481,Texas Rangers,2016
103,1424,502,3,1,42,743,4.67,162,161,126,1530,1.07,162,1444,61,96,210,17,1431.0,87,24079,.327,.765,12,826,111,6,.439,1202,35,60,6167,75,1.36,84,.463,Oakland Athletics,2016
104,1277,554,11,2,34,742,4.67,162,160,156,1521,1.19,162,1417,75,81,226,28,1430.2,91,23726,.333,.775,14,816,76,12,.441,1325,45,62,6169,71,1.38,73,.438,San Diego Padres,2016
